Id,SalePrice
1461,120189.824695
1462,155980.511644
1463,178637.347596
1464,191600.348213
1465,173545.563516
1466,177453.295746
1467,182173.922894
1468,168324.899734
1469,186889.665893
1470,130134.881250
1471,187705.459967
1472,95890.247828
1473,101589.443405
1474,155544.698957
1475,128811.098258
1476,394076.090247
1477,250736.733097
1478,285976.229615
1479,240579.960215
1480,496357.385620
1481,306866.792035
1482,212458.701369
1483,169526.096228
1484,171888.660104
1485,184839.647700
1486,184994.662672
1487,370806.281471
1488,236133.708931
1489,205995.134338
1490,206617.812258
1491,191351.449119
1492,80253.591389
1493,181702.860538
1494,282347.238352
1495,277460.361344
1496,228634.484164
1497,181840.059830
1498,166498.463619
1499,162590.208176
1500,152756.656846
1501,169910.817256
1502,156322.818692
1503,284074.208891
1504,239793.785902
1505,223315.791280
1506,181033.512454
1507,228758.529283
1508,192912.886164
1509,164936.825228
1510,143673.451363
1511,138022.151331
1512,175470.917168
1513,156728.982981
1514,172954.756838
1515,212822.362724
1516,157826.027007
1517,160934.938572
1518,139560.663863
1519,233626.708310
1520,133169.742752
1521,133743.190381
1522,168467.780194
1523,115601.203600
1524,123395.267862
1525,127746.396538
1526,117757.106136
1527,105145.211332
1528,130511.668869
1529,141385.460870
1530,194682.460260
1531,108067.405973
1532,95020.578364
1533,142491.007445
1534,116578.205447
1535,150050.901791
1536,108560.226118
1537,71389.385551
1538,175610.986424
1539,214512.427260
1540,99090.911138
1541,144351.945303
1542,140680.939576
1543,215181.615514
1544,77729.552830
1545,99024.837424
1546,134819.460894
1547,139356.317320
1548,136814.825617
1549,110476.994399
1550,140882.983054
1551,95231.642327
1552,151872.165664
1553,150683.252115
1554,110458.304899
1555,171104.715570
1556,75849.995908
1557,106356.322312
1558,97830.918531
1559,80400.565496
1560,125119.421017
1561,139462.648288
1562,124905.944046
1563,122230.857853
1564,146080.381522
1565,145283.774008
1566,235079.961130
1567,68904.727701
1568,225075.093495
1569,131049.108148
1570,133627.631720
1571,121365.013931
1572,152056.672212
1573,261236.591836
1574,109350.749122
1575,230559.614154
1576,215431.903810
1577,193880.440289
1578,151888.571873
1579,142836.198505
1580,195860.971996
1581,160890.880131
1582,126607.178908
1583,323292.521169
1584,228086.655584
1585,141110.145939
1586,68248.380505
1587,91615.372326
1588,159810.075247
1589,99057.526561
1590,130156.870654
1591,91821.958447
1592,113502.623534
1593,131807.802721
1594,141454.894389
1595,111941.833715
1596,242848.293905
1597,199074.560618
1598,198818.745196
1599,187466.682726
1600,175271.973593
1601,73683.425931
1602,103380.478387
1603,65906.823266
1604,274830.324719
1605,247846.049780
1606,168477.206692
1607,186346.350277
1608,213626.464250
1609,188480.036111
1610,138181.598834
1611,138414.712465
1612,148976.263227
1613,157255.208845
1614,119718.780416
1615,94041.702322
1616,70190.557049
1617,96164.216259
1618,124325.613466
1619,139720.447120
1620,157049.034816
1621,133104.526857
1622,129249.962403
1623,295900.718916
1624,208052.381974
1625,127931.479898
1626,180513.176374
1627,183666.372949
1628,275891.480729
1629,177882.572563
1630,352670.085350
1631,220161.769929
1632,245577.162592
1633,171877.968208
1634,192644.285131
1635,183945.418156
1636,158628.191783
1637,193449.290477
1638,199859.189397
1639,193438.834084
1640,253696.540578
1641,175575.444701
1642,229389.611087
1643,211696.576008
1644,221809.284296
1645,186034.262330
1646,157609.540943
1647,161735.739543
1648,129975.541468
1649,140947.343256
1650,120910.466249
1651,118894.164427
1652,94426.746613
1653,96378.795086
1654,151026.432257
1655,142583.388089
1656,151209.266062
1657,153042.295908
1658,147416.369244
1659,130836.494690
1660,143940.383854
1661,444451.111109
1662,442174.473744
1663,406114.825802
1664,505859.351376
1665,327784.761389
1666,288295.723219
1667,357302.331513
1668,343077.735519
1669,292105.776389
1670,348839.492083
1671,242645.243099
1672,474732.003909
1673,293506.077699
1674,245203.007244
1675,180482.451790
1676,183855.051343
1677,217385.141088
1678,472339.099708
1679,373312.537624
1680,311558.129511
1681,245101.137820
1682,284015.669923
1683,179143.668435
1684,167346.162080
1685,168896.151816
1686,172323.664448
1687,166586.684891
1688,179910.350308
1689,187169.329985
1690,184702.426304
1691,182513.819256
1692,279492.243580
1693,164169.164208
1694,186306.429340
1695,163163.616676
1696,277149.754007
1697,169999.485410
1698,357517.955700
1699,345637.395988
1700,249584.806687
1701,260712.703775
1702,246018.514094
1703,229806.138765
1704,297129.626253
1705,224584.545995
1706,447811.422830
1707,210965.694827
1708,211498.201913
1709,284260.059954
1710,219647.471898
1711,248231.435093
1712,234084.466447
1713,261971.764849
1714,218028.362040
1715,212929.283532
1716,175137.947131
1717,174724.180500
1718,131981.002451
1719,190851.558586
1720,246778.343311
1721,161851.290492
1722,132152.253583
1723,153919.598022
1724,197488.673530
1725,246525.179190
1726,186397.529814
1727,152700.466583
1728,164725.452728
1729,165090.133597
1730,162048.224854
1731,119163.433557
1732,137193.369618
1733,119119.176262
1734,126156.177524
1735,132606.847243
1736,120165.766827
1737,347238.053764
1738,217974.392598
1739,263705.549607
1740,248927.944089
1741,191962.496375
1742,168191.770799
1743,170107.967986
1744,338989.902648
1745,218726.174604
1746,212755.547538
1747,221213.981328
1748,235715.835710
1749,150460.663437
1750,122133.099871
1751,244844.550156
1752,121571.891548
1753,151383.515057
1754,199050.364014
1755,164750.892593
1756,132397.893961
1757,124918.023672
1758,145641.879080
1759,162885.152589
1760,165048.091838
1761,145150.793449
1762,177838.442077
1763,169749.987783
1764,117498.323862
1765,150975.223232
1766,175602.786961
1767,228690.431684
1768,144795.259787
1769,183128.392370
1770,150812.577046
1771,130070.799841
1772,149835.493649
1773,133012.763096
1774,136662.969418
1775,137041.892165
1776,124443.122843
1777,114998.152722
1778,145851.496828
1779,116968.946052
1780,168200.766364
1781,133121.553581
1782,100195.571754
1783,133130.086566
1784,100149.092306
1785,126283.622593
1786,145628.328068
1787,146653.737477
1788,50777.260863
1789,96837.933874
1790,79012.612064
1791,183546.426180
1792,157749.660822
1793,115879.050493
1794,149804.182199
1795,131295.477122
1796,124414.916077
1797,119002.523107
1798,131165.311040
1799,109981.815540
1800,136602.125542
1801,125787.807987
1802,136371.110537
1803,146481.682296
1804,138690.379265
1805,134180.779149
1806,109823.352534
1807,140256.972935
1808,124795.654708
1809,115209.299829
1810,147815.835406
1811,93946.175456
1812,89577.512239
1813,128481.972072
1814,95412.621824
1815,54434.355975
1816,94973.509941
1817,105465.607726
1818,147119.846238
1819,135341.820779
1820,41355.396160
1821,100711.080119
1822,135833.281165
1823,34173.631638
1824,144548.241027
1825,139569.227286
1826,97729.587632
1827,101552.968170
1828,144058.230744
1829,109599.428306
1830,139228.192474
1831,168120.781866
1832,63670.953508
1833,144041.760172
1834,111359.314858
1835,152860.583192
1836,111426.874373
1837,87480.070458
1838,118659.247259
1839,86327.748571
1840,172441.774385
1841,147706.814606
1842,75262.122848
1843,137231.827786
1844,142136.755555
1845,130466.149497
1846,152457.695690
1847,162353.284466
1848,53012.868781
1849,123452.840476
1850,124760.016629
1851,152536.042411
1852,128149.576775
1853,126025.244035
1854,166399.525049
1855,138660.019092
1856,213107.700231
1857,156987.150168
1858,136367.183880
1859,120131.453591
1860,144528.597028
1861,120131.453591
1862,301383.658711
1863,287709.609328
1864,287709.609328
1865,338207.001029
1866,344016.515396
1867,249677.839073
1868,307531.974622
1869,198992.966985
1870,216661.268080
1871,250913.773171
1872,170890.266047
1873,226923.134245
1874,148433.540853
1875,206306.730470
1876,199874.100821
1877,219470.962714
1878,192171.190578
1879,132104.469352
1880,132390.844823
1881,242501.475589
1882,249995.271747
1883,189419.861138
1884,204880.922272
1885,228379.698669
1886,318947.011985
1887,213050.230550
1888,275576.457891
1889,162075.938496
1890,127109.884019
1891,134506.343157
1892,110493.858845
1893,126600.307037
1894,131994.429789
1895,141060.886544
1896,131103.288768
1897,120671.413747
1898,116761.664453
1899,161306.232006
1900,147049.310276
1901,177638.817819
1902,145873.801115
1903,227174.904653
1904,152552.356157
1905,213407.221413
1906,163976.998476
1907,205992.921978
1908,117271.972420
1909,137709.759678
1910,124476.321574
1911,232591.042904
1912,296682.115322
1913,153311.756418
1914,44913.184066
1915,342011.659316
1916,62538.800580
1917,273625.327425
1918,139141.827652
1919,165478.362624
1920,137668.703830
1921,426895.045747
1922,315657.537268
1923,215221.175975
1924,206420.081560
1925,199763.332866
1926,414128.663974
1927,132905.484994
1928,159058.323504
1929,129208.497830
1930,130593.147821
